should,[ 2  2  4 -6 -4 -6  0  2 -6 -6  2  0 -3 -4 -4 -6 -2 -2 -6  2 -6],256.04,265.04
know,[ 2  0  0 -4 -4 -2  0  2 -4 -4 -1 -2 -1 -2  0 -4  2  0 -4  1 -4],269.629,268.079
up,[ 0  0  0 -2 -2 -2  0  0 -2 -2  1 -2  0  2  0 -2  0  0 -2  1 -2],268.59566666666666,269.1123333333333
front,[ 1  3  1 -4 -5 -3  1  1 -5 -5  4  1 -3 -3 -4 -4 -2 -3 -5  1 -5],268.079,269.4395
is,[ 0  0  2 -2 -2 -2  0  0 -2 -2  1  0 -1 -2  0 -2 -2 -2 -2  1 -2],270.989,270.92
this,[ 0  2  2 -4 -4 -4  0 -2 -4 -4  1  0 -2 -4 -2 -4 -4 -4 -4  1 -4],271.179,271.239
not,[ 1  1 -1 -3 -3 -1  0  1 -3 -3  2  1 -2 -3 -3 -3 -1 -1 -3  1 -3],271.829,270.92
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],272.019,270.92
love,[ 2  0  4 -4 -2 -4  1  4 -4 -4  2 -2 -1 -2 -4 -4 -2 -2 -4  2 -4],273.449,274.549
story.,[ 1  1  3 -4 -5 -5  0  1 -5 -5  3  1 -3 -3 -2 -4 -2 -1 -5  2 -5],273.36,274.769
they,[ 2  0  2 -4 -4 -4  0  0 -4 -4  0 -2 -1 -2 -2 -4 -4 -2 -4  2 -4],273.36,277.16
made,[ 2  0  0 -4 -4 -2  0  4 -4 -4  2 -2 -1 -2 -4 -2 -4 -4 -4  2 -4],277.96000000000004,280.749
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],280.999,280.079
statue,[ 0  0  2 -6 -6 -6  0  0 -6 -6  3  0 -3 -4 -4 -4 -4 -4 -6  3 -6],281.09950000000003,283.309
of,[ 0  0  2 -2 -2 -2  1  0 -2 -2  1 -2  0  0 -2 -2  0  0 -2  1 -2],282.24,283.449
us,[ 0  0  2 -2 -2 -2  0  0 -2 -2  1  0 -1  0  0 -2  0  0 -2  1 -2],284.119,282.24
put,[-1  1 -1 -3 -3 -3  0 -1 -3 -3  2 -1 -1  1 -1 -3 -1 -1 -3  1 -3],282.94666666666666,283.6533333333333
and,[ 1  1 -1 -3 -3 -1  0  3 -3 -3  2  1 -2 -3 -3 -1 -3 -3 -3  1 -3],284.869,284.48
it,[ 0  0  0 -2 -2 -2  0  0 -2 -2  1  0 -1 -2  0 -2 -2 -2 -2  1 -2],285.239,285.529
on,[ 2  0  0 -2 -2  0  0  2 -2 -2  1  0 -1 -2 -2 -2  0  0 -2  1 -2],286.749,284.48
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],286.949,287.259
mountaintop,[  5   1  -1 -11 -11  -5   0   5 -11 -11   6  -3  -4  -5  -7  -9  -5  -5
 -11   5 -11],284.48,288.849
now,[ 3 -1  1 -3 -3 -1  0  3 -3 -3  0 -1 -1 -1 -1 -3  1  1 -3  1 -3],287.879,289.139
